,Unnamed: 0,4-block polymer,Electronic Dielectric Constant,Ionic Dielectric Constant,Total Dielectric Constant,HSE Band Gap (eV),SMILES,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HeavyAtomMolWt,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,MolWt,NumValenceElectrons,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
225,225,CH2-CH2-CH2-NH,2.643,0.207,2.85,6.165,CCCN,59.073499287999994,1.75,2.0,2.0,50.04,0.3304839223850739,-0.007990568627305066,0.007990568627305066,-0.3304839223850739,59.11199999999999,26.0,0.8077422239915891,0.9655503477585862,0.03685913832866218,0.26167877291255975,0.8110330437354552,21.443328768040352,61.55405027370997,82.98234495385961,1.4371987186271102,0.09192106425824492
226,226,CH2-CO-NH-CO,2.818,1.202,4.02,4.993,CC(=O)NC(=O),87.0320284,1.8333333333333333,2.3333333333333335,2.3333333333333335,82.038,0.29933526067766014,0.22270945933256533,0.22270945933256533,-0.29933526067766014,87.07799999999999,34.0,0.4561364854887248,0.9711126243346884,0.015371373725910936,0.23919385680962876,0.7580026077559152,50.21608126367463,156.87409509151595,205.68373916810384,1.590135842634287,3.595500279001539e-13
227,227,NH-CS-C6H4-O,3.626,0.597,4.223,2.884,NC(=S)C1=CC=CC=C1O,153.024834844,1.4,2.0,2.4,146.14999999999998,0.5072201948176247,0.1252517145053311,0.1252517145053311,-0.5072201948176247,153.20599999999996,52.0,0.29408534466697617,0.9324625456803534,0.003947350171467272,0.35117341500270227,0.8664969551948084,213.66992329023734,546.5191120074377,620.7203707730657,2.1903944956779786,0.24211661217315195
228,228,CO-C4H2S-CO-C4H2S,3.933,1.984,5.917,2.303,C(=O)C1=CSC=C1C(=O)C1=CSC=C1,221.980921432,1.2142857142857142,2.0714285714285716,2.7142857142857144,216.24199999999996,0.29783813797110015,0.19491955668315972,0.19491955668315972,-0.29783813797110015,222.29,70.0,0.33532524326879204,0.9650687078615201,0.0017720065865931937,0.3073066541341468,0.922440098184391,481.50357228112927,1491.7794673319167,1785.3750140187813,2.8499448929380007,0.19831174127247533
229,229,NH-C6H4-O-CS,3.418,0.647,4.066,3.625,NC1=CC=CC=C1OC(=S),153.024834844,1.4,2.1,2.7,146.14999999999998,0.45143006051941087,0.1540917537525265,0.1540917537525265,-0.45143006051941087,153.206,52.0,0.46143353793870295,0.978746931294478,0.004034952462668982,0.20619208696048608,0.8518906217358923,198.2730689684702,721.9466682270931,714.5784120082019,2.2879980331258567,0.048997896456014246
230,230,CH2-C4H2S-CO-CS,3.491,0.453,3.945,2.801,CC1=CSC=C1C(=O)C(=S),169.986006812,1.7,2.4,2.8,164.20999999999998,0.28831101959550476,0.1971079625855289,0.1971079625855289,-0.28831101959550476,170.258,52.0,0.29042334890487603,0.9272938893179742,0.0031080915358565,0.2955909122774658,0.7526448989374394,227.75058037512446,848.7589494154196,833.2059461706627,2.2970878683307574,1.1089428417669663e-10
231,231,CH2-CO-O-C6H4,2.781,0.466,3.247,4.907,CC(=O)OC1=CC=CC=C1,136.052429496,1.3,1.9,2.4,128.08599999999998,0.4267339377171449,0.307523937689319,0.307523937689319,-0.4267339377171449,136.14999999999998,52.0,0.5266607782040245,0.9809293747931618,0.008310420549814549,0.19985221403524012,0.961605582168011,114.62236614846547,570.0457004161991,601.5480563078037,2.2224863549918314,0.1802668935476285
232,232,C4H2S-C4H2S-C4H2S-C4H2S,8.798,0.229,9.027,1.023,C1=CSC=C1C1=CSC=C1C1=CSC=C1C1=CSC=C1,329.96653432,0.45,0.9,1.3,320.444,0.1517819467546557,0.0016742805103713869,0.0016742805103713869,-0.1517819467546557,330.524,98.0,0.14693119829558635,0.8667076595661778,0.0005609464734173261,0.5080011807706234,0.8931936480303849,1901.2160694032032,2386.7576569681382,2886.5066105525793,3.151900751421365,0.42153434572655746
233,233,CO-C6H4-O-C6H4,3.267,0.624,3.891,3.45,C(=O)C1=CC=CC=C1OC1=CC=CC=C1,198.06807956,0.8666666666666667,1.5333333333333334,2.2666666666666666,188.14099999999996,0.45662642617486715,0.15330013665992231,0.15330013665992231,-0.45662642617486715,198.221,74.0,0.3893681319481463,0.9636642502354541,0.00217101786183164,0.27744537417702436,0.752088330219488,363.65701212761536,1046.6767052738537,1385.7577687262938,2.9183164510902486,0.13932965902233432
234,234,CH2-CH2-CH2-C4H2S,2.853,0.129,2.982,4.257,CCCC1=CSC=C1,126.05032132,1.625,2.5,3.0,116.14399999999998,0.15215551626986393,-0.006126239213575348,0.006126239213575348,-0.15215551626986393,126.22399999999996,44.0,0.4804964343101881,0.9752459626576846,0.008594153814760155,0.22897127620720778,0.9064810694127627,97.17430454081354,382.4945700317022,430.9925874339682,2.0017552130309406,0.19912455078848068
