,SMILES,4-block polymer,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HeavyAtomMolWt,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,MolWt,NumValenceElectrons,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,Band Gap (eV),Band Gap Uncertainty (eV),Total Dielectric Constant,Total Dielectric Constant Uncertainty,Probability of Improvement
391,C(=S)CC1=CC=CC=C1C(=O),CS-CH2-C6H4-CO,164.029585876,1.3636363636363635,2.090909090909091,2.727272727272727,156.16499999999996,0.2978851373359916,0.14983784396320676,0.14983784396320676,-0.2978851373359916,164.22899999999996,56.0,0.2298066228434476,0.9343061721390669,0.0024135295272141016,0.3044268584066278,0.7368233993381429,357.18178630393083,708.8366944610905,986.5526874924967,2.522616057368747,0.10791547471353963,2.6064300000000005,0.632720728368469,4.4086599999999985,0.7910468364437689,1.7616709236191253e-05
637,C1=CSC=C1C1=CSC=C1C(=O)C,C4H2S-C4H2S-CO-CH2,208.001656876,1.2307692307692308,2.076923076923077,2.6923076923076925,200.24299999999997,0.29445590665720045,0.16076226036013275,0.16076226036013275,-0.29445590665720045,208.30699999999996,66.0,0.3484649159187776,0.9526541314529666,0.0017437497763800713,0.3104845011257461,0.7490886764396342,423.21947574582725,1025.162674333043,1380.6542318052377,2.6527106230703086,0.09094671784393876,2.5594499999999996,0.6424390726974536,4.44276,0.797424768737064,1.7612021768968217e-05
767,C1=CC=CC=C1C(=S)C1=CC=CC=C1N,C6H4-CS-C6H4-NH,213.061220352,0.8666666666666667,1.4666666666666666,2.1333333333333333,202.21699999999996,0.39820143538623864,0.05420116666804459,0.05420116666804459,-0.39820143538623864,213.305,74.0,0.31820989476791,0.9282740818203312,0.0018636082153072765,0.34152072506046843,0.9114093127185962,458.13460887040094,1158.7077723744894,1452.4225025062306,2.722762232895845,0.1950855854422664,2.3847500000000004,0.6598254628196027,4.939650000000003,0.8453993735848717,1.7410379116596038e-05
888,C(=O)C(=O)C(=S)C1=CSC=C1,CO-CO-CS-C4H2S,183.965271368,1.6363636363636365,2.3636363636363638,2.8181818181818183,180.209,0.29416091170488134,0.2362530499408771,0.2362530499408771,-0.29416091170488134,184.24099999999999,56.0,0.292835970794701,0.9395945637146533,0.0036355622786715556,0.22406174344209936,0.8300881372503768,322.93651877112103,912.749149750675,1101.381482052517,2.5039894036684287,0.04624311396491492,2.4092299999999995,0.6447445043650809,5.210540000000001,0.9258113392337518,1.729201858187272e-05
440,C(=S)OC1=CSC=C1C(=O),CS-O-C4H2S-CO,171.965271368,1.6,2.4,3.0,168.19799999999998,0.4519645514543205,0.15414854666442568,0.15414854666442568,-0.4519645514543205,172.23,52.0,0.3673156440053873,0.9579376384168371,0.002361752063871202,0.2893872416321132,0.735288951381843,308.0146965670749,742.8462066482839,1078.3483559293395,2.4484400352675415,0.0432989170349226,2.69879,0.5818611833387233,4.896230000000001,0.785169856030696,1.7128144508785383e-05
630,C1=CSC=C1C1=CSC=C1C1=CC=CC=C1O,C4H2S-C4H2S-C6H4-O,258.01730694,0.7647058823529411,1.588235294117647,2.3529411764705883,248.28699999999995,0.5073106218203486,0.12295054642102424,0.12295054642102424,-0.5073106218203486,258.36699999999996,84.0,0.13201054391445535,0.8447473016608016,0.0005828505232529731,0.5379716842043297,0.6237514261073469,1070.9295358965205,1215.9592931204963,1957.1049762836014,2.902431858170769,0.27173122343065,2.15658,0.7185181325609906,4.900069999999999,0.7935784666670913,1.7048655046429777e-05
110,C1=CC=CC=C1C1=CSC=C1C(=O)N,C6H4-C4H2S-CO-NH,203.040484908,1.1428571428571428,1.8571428571428572,2.5,194.19399999999996,0.3655547129029298,0.24967520129413243,0.24967520129413243,-0.3655547129029298,203.26599999999996,70.0,0.30792297910190486,0.9415014757173897,0.00162246224487693,0.3363953786684259,0.7240658984467577,449.00683444040794,952.475160834767,1307.7290963435719,2.6426492845090856,0.12049828487811282,2.5336199999999995,0.6310487452784804,4.730239999999998,0.7889424817313139,1.7013078725257214e-05
373,C(=S)C1=CC=CC=C1CC(=O),CS-C6H4-CH2-CO,164.029585876,1.3636363636363635,2.090909090909091,2.727272727272727,156.16499999999996,0.30302797324058334,0.12388353658391715,0.12388353658391715,-0.30302797324058334,164.22899999999996,56.0,0.1513263348153141,0.9047225514406271,0.0017572824474963126,0.47926077487108837,0.6679220498125085,413.38939520758,477.6662395909914,907.4560062118096,2.3323082622121585,0.27424604660557306,2.438820000000001,0.6509658612883612,4.810369999999997,0.8031132603352555,1.6956964897943678e-05
228,CC(=S)C1=CSC=C1C(=O),CH2-CS-C4H2S-CO,169.986006812,1.7,2.4,2.8,164.20999999999998,0.29783996839471677,0.15103114254214003,0.15103114254214003,-0.29783996839471677,170.25799999999998,52.0,0.25199914418338226,0.9191153822093022,0.002461715174451463,0.39050584075032757,0.7153865364182607,364.90760571475863,578.4994959790656,735.2257496918157,2.32463989314422,0.2177397572155573,2.5103400000000002,0.637309870443106,4.700199999999998,0.8136493950286567,1.6679772100138972e-05
351,C(=S)C1=CSC=C1C1=CC=CC=C1C(=O),CS-C4H2S-C6H4-CO,232.001656876,1.0666666666666667,1.8666666666666667,2.6,224.26499999999996,0.2978723224017513,0.15017459335666936,0.15017459335666936,-0.2978723224017513,232.329,74.0,0.1436491257013085,0.8640040991919439,0.0010576618782928992,0.5074990116159555,0.7449998351030024,727.7184814394361,1220.2134115120602,1514.5013089164654,2.7797994000125836,0.4189678637905379,2.0855599999999996,0.7215772975314585,5.244359999999997,0.8036348581184027,1.6627280247791904e-05
